,Airbnb_Id,Neighbourhood,Host_ResponseTime,Superhost,Property_Type,Room_Type,Num_Baths_Detailed,Num_Bedrooms,Num_Beds,Amenities,Price_per_Night,Availablility_365Days,Minimum_Nights,Num_Reviews,Accuray_ReviewScore,Cleanliness_ReviewScore,Communication_ReviewScore,Value_ReviewScore,Reviews_per_Month,Num_Host_Listings,longitude,latitude,Minimum_Income_per_Booking,Monthly_Income,Yearly_Income
0,10080,Downtown,within an hour,False,Entire condominium,Entire home/apt,2 baths,2.0,2.0,462,150.0,346,90,Between 10 and 20,9.0,9.0,9.0,9.0,0.14,40,-123.12046,49.28872,13500.0,1890.0000000000002,22680.000000000004
1,13358,West End,within a day,True,Entire condominium,Entire home/apt,1 bath,1.0,1.0,520,85.0,98,30,More than 100,9.0,10.0,10.0,9.0,3.27,1,-123.12669,49.28201,2550.0,8338.5,100062.0
2,13490,Kensington-Cedar Cottage,within an hour,True,Entire apartment,Entire home/apt,1 bath,1.0,1.0,914,145.0,203,30,Between 75 and 100,10.0,10.0,10.0,10.0,0.73,1,-123.06607,49.25622,4350.0,3175.5,38106.0
3,14267,Kensington-Cedar Cottage,within a few hours,False,Entire house,Entire home/apt,1 bath,1.0,2.0,421,140.0,123,3,Between 20 and 35,10.0,9.0,9.0,9.0,0.26,1,-123.08139,49.24922,420.0,109.2,1310.4
5,18270,Mount Pleasant,within an hour,False,Private room in condominium,Private room,1 shared bath,1.0,1.0,308,51.0,194,30,More than 100,9.0,8.0,10.0,9.0,0.96,1,-123.096,49.26557,1530.0,107.10000000000001,1285.2
8,19527,Fairview,within an hour,True,Entire apartment,Entire home/apt,1 bath,1.0,1.0,445,128.0,336,30,Between 35 and 50,10.0,10.0,10.0,9.0,0.27,1,-123.13477,49.26018,3840.0,3686.3999999999996,44236.799999999996
9,20085,Kensington-Cedar Cottage,within an hour,True,Entire guest suite,Entire home/apt,1 bath,2.0,2.0,528,69.0,254,30,Between 50 and 75,10.0,10.0,10.0,10.0,0.55,1,-123.08636,49.25636,2070.0,6727.5,80730.0
11,21913,Renfrew-Collingwood,within a few hours,True,Entire house,Entire home/apt,1 bath,1.0,1.0,674,90.0,260,28,More than 100,10.0,10.0,10.0,9.0,1.87,3,-123.05307,49.23442,2520.0,2520.0,30240.0
12,24273,Kitsilano,within a day,False,Entire apartment,Entire home/apt,1 bath,2.0,3.0,813,200.0,1,30,Between 10 and 20,10.0,10.0,10.0,9.0,0.17,2,-123.1715,49.26216,6000.0,1620.0,19440.0
13,26047,Downtown,within a few hours,True,Entire condominium,Entire home/apt,1 bath,1.0,2.0,824,159.0,262,30,Between 35 and 50,10.0,9.0,10.0,9.0,0.29,4,-123.12375,49.28086,4770.0,2623.5,31482.0
14,32746,Downtown,within an hour,False,Entire apartment,Entire home/apt,1 bath,1.0,2.0,498,100.0,292,30,Between 75 and 100,9.0,9.0,9.0,9.0,0.61,2,-123.105,49.2792,3000.0,8340.0,100080.0
15,33150,Riley Park,within an hour,True,Entire apartment,Entire home/apt,1 bath,1.0,2.0,695,110.0,272,4,Between 50 and 75,10.0,10.0,10.0,10.0,0.43,1,-123.1048,49.24677,440.0,822.8000000000001,9873.6
17,35304,Grandview-Woodland,within a day,True,Private room in house,Private room,1 private bath,1.0,1.0,362,75.0,352,2,More than 100,10.0,10.0,10.0,10.0,3.23,1,-123.06973,49.2729,150.0,25.500000000000004,306.00000000000006
18,42645,Downtown,within a few hours,True,Entire condominium,Entire home/apt,1 bath,1.0,2.0,628,159.0,256,30,Between 20 and 35,10.0,10.0,10.0,9.0,0.22,4,-123.1234,49.28036,4770.0,1383.3,16599.6
19,54261,Downtown,a few days or more,False,Entire condominium,Entire home/apt,1 bath,1.0,1.0,413,89.0,365,90,Between 35 and 50,9.0,10.0,9.0,9.0,0.31,2,-123.12426,49.27462,8010.0,4886.099999999999,58633.2
20,73841,Downtown,within a few hours,False,Entire apartment,Entire home/apt,1 bath,1.0,1.0,202,121.0,33,30,Between 10 and 20,10.0,9.0,10.0,10.0,0.12,1,-123.12359,49.27591,3630.0,1560.8999999999999,18730.8
21,77157,Arbutus Ridge,within an hour,True,Entire guest suite,Entire home/apt,1 bath,1.0,2.0,688,100.0,310,2,More than 100,10.0,10.0,10.0,10.0,5.22,2,-123.16544,49.2452,200.0,118.0,1416.0
22,111077,Grandview-Woodland,within a few hours,False,Entire guest suite,Entire home/apt,1 bath,2.0,2.0,353,125.0,365,3,More than 100,10.0,10.0,10.0,9.0,0.86,1,-123.06016,49.26758,375.0,1211.25,14535.0
23,125176,Riley Park,within an hour,False,Private room in house,Private room,1 private bath,1.0,0.0,420,85.0,312,2,More than 100,10.0,9.0,9.0,10.0,4.2,1,-123.09462,49.24615,170.0,37.4,448.79999999999995
26,170137,Dunbar Southlands,within an hour,False,Entire house,Entire home/apt,2 baths,3.0,3.0,694,150.0,227,4,More than 100,10.0,10.0,10.0,10.0,1.31,1,-123.18966,49.25757,600.0,186.0,2232.0
29,219261,Kitsilano,within an hour,False,Entire apartment,Entire home/apt,1 bath,2.0,2.0,457,135.0,200,3,More than 100,9.0,9.0,10.0,9.0,3.59,2,-123.15043,49.2719,405.0,48.6,583.2
30,226757,Downtown,within a day,False,Entire apartment,Entire home/apt,1 bath,1.0,2.0,462,102.0,365,30,Between 10 and 20,9.0,9.0,9.0,8.0,0.09,4,-123.11857,49.27955,3060.0,15973.199999999999,191678.4
33,258636,Downtown,a few days or more,False,Entire apartment,Entire home/apt,1 bath,1.0,2.0,219,99.0,12,120,Between 50 and 75,10.0,9.0,10.0,9.0,0.46,1,-123.12852,49.27839,11880.0,10216.8,122601.59999999999
34,283841,Downtown,within an hour,False,Entire apartment,Entire home/apt,3 baths,3.0,3.0,432,197.0,0,90,Less than 5,10.0,10.0,10.0,10.0,0.02,40,-123.12505,49.28906,17730.0,74466.0,893592.0
36,311354,Grandview-Woodland,a few days or more,False,Entire house,Entire home/apt,2 baths,3.0,3.0,520,100.0,90,30,Between 5 and 10,7.0,7.0,7.0,7.0,0.15,5,-123.07086,49.26328,3000.0,1050.0,12600.0
37,322824,Downtown,within a few hours,False,Entire condominium,Entire home/apt,1 bath,1.0,0.0,380,175.0,242,30,More than 100,10.0,10.0,10.0,10.0,1.29,1,-123.12452,49.27608,5250.0,5092.5,61110.0
38,359942,Downtown,within an hour,False,Private room in apartment,Private room,1 shared bath,2.0,1.0,440,237.0,364,30,Between 35 and 50,9.0,10.0,10.0,9.0,0.4,7,-123.11825,49.27634,7110.0,9314.1,111769.20000000001
40,415700,Renfrew-Collingwood,within a few hours,True,Private room in house,Private room,1 private bath,1.0,1.0,628,80.0,245,1,More than 100,10.0,10.0,10.0,9.0,1.91,3,-123.0551,49.2332,80.0,80.0,960.0
41,436032,Downtown Eastside,within an hour,True,Entire loft,Entire home/apt,1 bath,2.0,2.0,453,206.0,274,3,Between 50 and 75,10.0,10.0,10.0,10.0,0.68,1,-123.10453,49.28211,618.0,296.64,3559.68
42,441075,Downtown Eastside,within an hour,False,Entire apartment,Entire home/apt,1 bath,1.0,1.0,487,137.0,283,3,Between 50 and 75,10.0,10.0,10.0,9.0,0.49,1,-123.10525,49.28379,411.0,1475.49,17705.88
43,448104,Downtown,within an hour,True,Entire condominium,Entire home/apt,1 bath,1.0,1.0,437,148.0,0,30,More than 100,10.0,10.0,10.0,9.0,2.37,3,-123.12502,49.28063,4440.0,399.59999999999997,4795.2
44,461370,Killarney,within an hour,False,Private room in house,Private room,1 private bath,1.0,1.0,462,85.0,365,30,Between 35 and 50,9.0,9.0,10.0,9.0,0.41,7,-123.03047,49.22834,2550.0,25.5,306.0
46,475296,Downtown Eastside,within a few hours,True,Entire loft,Entire home/apt,1.5 baths,1.0,1.0,487,347.0,363,1,More than 100,10.0,10.0,10.0,9.0,1.46,1,-123.10381,49.28241,347.0,38.17,458.04
47,485225,Downtown,within a day,False,Entire place,Entire home/apt,1 bath,2.0,2.0,383,344.0,365,1,Less than 5,8.0,8.0,10.0,8.0,0.01,1,-123.12691,49.28052,344.0,158.24,1898.88
49,507767,Downtown,within an hour,False,Entire serviced apartment,Entire home/apt,1 bath,1.0,1.0,743,299.0,364,30,Less than 5,9.0,10.0,10.0,9.0,0.03,22,-123.12292,49.27741,8970.0,179.4,2152.8
50,523272,South Cambie,within a day,False,Entire guest suite,Entire home/apt,1 bath,2.0,2.0,313,90.0,169,2,Between 20 and 35,9.0,9.0,10.0,9.0,0.29,3,-123.11523,49.25555,180.0,124.19999999999999,1490.3999999999999
51,540348,Kensington-Cedar Cottage,within an hour,False,Entire house,Entire home/apt,1 bath,3.0,3.0,765,425.0,350,1,Between 20 and 35,9.0,10.0,10.0,9.0,0.35,1,-123.06393,49.25759,425.0,63.75,765.0
52,557357,Grandview-Woodland,within a few hours,False,Entire house,Entire home/apt,1 bath,1.0,1.0,589,80.0,286,30,More than 100,10.0,10.0,10.0,10.0,1.75,2,-123.06246,49.27917,2400.0,3096.0,37152.0
54,654744,West End,within an hour,True,Entire apartment,Entire home/apt,2 baths,2.0,3.0,721,130.0,278,30,Between 50 and 75,10.0,9.0,10.0,9.0,0.62,1,-123.14175,49.29178,3900.0,1560.0,18720.0
